circuitId,url,circuitName,Location
adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,"{'lat': '-34.9272', 'long': '138.617', 'locality': 'Adelaide', 'country': 'Australia'}"
ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,"{'lat': '33.5786', 'long': '-7.6875', 'locality': 'Casablanca', 'country': 'Morocco'}"
aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,"{'lat': '53.4769', 'long': '-2.94056', 'locality': 'Liverpool', 'country': 'UK'}"
albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,"{'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}"
americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,"{'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}"
anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway,Scandinavian Raceway,"{'lat': '57.2653', 'long': '13.6042', 'locality': 'Anderstorp', 'country': 'Sweden'}"
avus,http://en.wikipedia.org/wiki/AVUS,AVUS,"{'lat': '52.4806', 'long': '13.2514', 'locality': 'Berlin', 'country': 'Germany'}"
bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,"{'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}"
baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,"{'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}"
boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,"{'lat': '41.1705', 'long': '-8.67325', 'locality': 'Oporto', 'country': 'Portugal'}"
brands_hatch,http://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch,"{'lat': '51.3569', 'long': '0.263056', 'locality': 'Kent', 'country': 'UK'}"
bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}"
buddh,http://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,"{'lat': '28.3487', 'long': '77.5331', 'locality': 'Uttar Pradesh', 'country': 'India'}"
catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,"{'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}"
charade,http://en.wikipedia.org/wiki/Charade_Circuit,Charade Circuit,"{'lat': '45.7472', 'long': '3.03889', 'locality': 'Clermont-Ferrand', 'country': 'France'}"
dallas,http://en.wikipedia.org/wiki/Fair_Park,Fair Park,"{'lat': '32.7774', 'long': '-96.7587', 'locality': 'Dallas', 'country': 'USA'}"
detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,"{'lat': '42.3298', 'long': '-83.0401', 'locality': 'Detroit', 'country': 'USA'}"
dijon,http://en.wikipedia.org/wiki/Dijon-Prenois,Dijon-Prenois,"{'lat': '47.3625', 'long': '4.89913', 'locality': 'Dijon', 'country': 'France'}"
donington,http://en.wikipedia.org/wiki/Donington_Park,Donington Park,"{'lat': '52.8306', 'long': '-1.37528', 'locality': 'Castle Donington', 'country': 'UK'}"
essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}"
estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,Autódromo do Estoril,"{'lat': '38.7506', 'long': '-9.39417', 'locality': 'Estoril', 'country': 'Portugal'}"
fuji,http://en.wikipedia.org/wiki/Fuji_Speedway,Fuji Speedway,"{'lat': '35.3717', 'long': '138.927', 'locality': 'Oyama', 'country': 'Japan'}"
galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,"{'lat': '-34.6943', 'long': '-58.4593', 'locality': 'Buenos Aires', 'country': 'Argentina'}"
george,http://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,"{'lat': '-33.0486', 'long': '27.8736', 'locality': 'Eastern Cape Province', 'country': 'South Africa'}"
hockenheimring,http://en.wikipedia.org/wiki/Hockenheimring,Hockenheimring,"{'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}"
hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,"{'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}"
imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Enzo e Dino Ferrari,"{'lat': '44.3439', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}"
indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}"
interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,"{'lat': '-23.7036', 'long': '-46.6997', 'locality': 'São Paulo', 'country': 'Brazil'}"
istanbul,http://en.wikipedia.org/wiki/Istanbul_Park,Istanbul Park,"{'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}"
jacarepagua,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Autódromo Internacional Nelson Piquet,"{'lat': '-22.9756', 'long': '-43.395', 'locality': 'Rio de Janeiro', 'country': 'Brazil'}"
